Modelo,Máscara,Tarefas,Tempo Médio (s)
Sequencial,3x3,-,0.494302
Sequencial,5x5,-,2.240292
Sequencial,7x7,-,5.936132
MPI,3x3,1,0.503645
MPI,3x3,2,0.274819
MPI,3x3,3,0.256002
MPI,3x3,4,0.210490
MPI,5x5,1,2.242681
MPI,5x5,2,1.349021
MPI,5x5,3,1.234138
MPI,5x5,4,1.024456
MPI,7x7,1,5.502845
MPI,7x7,2,3.352310
MPI,7x7,3,3.068177
MPI,7x7,4,2.616715
OpenMP,3x3,1,0.637626
OpenMP,3x3,2,0.392109
OpenMP,3x3,3,0.338822
OpenMP,3x3,4,0.271478
OpenMP,5x5,1,2.440931
OpenMP,5x5,2,1.497288
OpenMP,5x5,3,1.339832
OpenMP,5x5,4,1.079193
OpenMP,7x7,1,5.817916
OpenMP,7x7,2,3.534154
OpenMP,7x7,3,3.032902
OpenMP,7x7,4,2.505095
